year,location_abbr,location,obesity_rate,pct_change
2020,LA,Louisiana,38.1,0.061281337047353945
2020,ME,Maine,31.0,-0.02208201892744477
2020,MD,Maryland,31.0,-0.04024767801857576
2020,MA,Massachusetts,24.4,-0.031746031746031744
2020,MI,Michigan,35.2,-0.022222222222222143
2020,MN,Minnesota,30.7,0.019933554817275656
2020,MS,Mississippi,39.7,-0.026960784313725394
2020,MO,Missouri,34.0,-0.02298850574712641
2020,MT,Montana,28.5,0.007067137809187329
2020,NE,Nebraska,34.0,-0.0029325513196480912
2020,NV,Nevada,28.7,-0.06209150326797397
2020,NH,New Hampshire,29.9,-0.05974842767295607
2020,NJ,New Jersey,27.7,0.0778210116731517
2020,NM,New Mexico,30.9,-0.025236593059936974
2020,NY,New York,26.3,-0.029520295202952074
2020,NC,North Carolina,33.6,-0.0117647058823529
2020,ND,North Dakota,33.1,-0.048850574712643535
2020,OH,Ohio,35.5,0.02011494252873569
2020,OK,Oklahoma,36.4,-0.010869565217391242
2020,OR,Oregon,28.1,-0.03103448275862064
2020,PA,Pennsylvania,31.5,-0.051204819277108515
2020,RI,Rhode Island,30.1,0.0033333333333334103
2020,SC,South Carolina,36.2,0.02259887005649719
2020,SD,South Dakota,33.2,0.0060606060606061
2020,TN,Tennessee,35.6,-0.024657534246575352
2020,TX,Texas,35.8,0.05294117647058805
2020,UT,Utah,28.6,-0.020547945205479423
2020,VT,Vermont,26.3,-0.011278195488721776
2020,VA,Virginia,32.2,0.009404388714733702
2020,WA,Washington,28.0,-0.010600706713780994
2020,WV,West Virginia,39.1,-0.015113350125944613
2020,WI,Wisconsin,32.3,-0.05555555555555569
2020,WY,Wyoming,30.7,0.03367003367003374
2020,GU,Guam,34.4,0.023809523809523725
2020,PR,Puerto Rico,31.4,-0.03384615384615386
